,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,udachnyy,0.0,RU,1603601764.0,78.0,66.42,112.4,-13.0,4.0
1,eureka,6.0,US,1603601540.0,87.0,40.8,-124.16,10.0,0.84
2,dingle,100.0,PH,1603601764.0,90.0,11.0,122.67,25.64,0.53
3,cabo san lucas,0.0,MX,1603601764.0,82.0,22.89,-109.91,27.22,5.67
4,avarua,56.0,CK,1603601765.0,69.0,-21.21,-159.78,24.0,6.2
5,leningradskiy,0.0,RU,1603601765.0,91.0,69.38,178.42,-4.93,4.51
6,saint-philippe,0.0,RE,1603601635.0,61.0,-21.36,55.77,26.0,9.8
7,hithadhoo,29.0,MV,1603601766.0,76.0,-0.6,73.08,28.54,4.39
8,viedma,80.0,AR,1603601766.0,78.0,-40.81,-63.0,19.44,1.34
9,bredasdorp,30.0,ZA,1603601766.0,77.0,-34.53,20.04,16.0,2.6
10,punta arenas,90.0,CL,1603601606.0,100.0,-53.15,-70.92,5.0,4.1
11,fairbanks,90.0,US,1603601746.0,85.0,64.84,-147.72,-1.11,1.15
12,ushuaia,75.0,AR,1603601690.0,75.0,-54.8,-68.3,6.0,2.63
13,butaritari,93.0,KI,1603601767.0,69.0,3.07,172.79,27.37,3.0
15,olinda,40.0,BR,1603601773.0,78.0,-8.01,-34.86,26.0,2.6
16,springbok,49.0,ZA,1603601773.0,43.0,-29.66,17.89,15.74,0.14
17,hermanus,55.0,ZA,1603601773.0,87.0,-34.42,19.23,16.11,3.03
18,albany,76.0,US,1603601702.0,69.0,42.6,-73.97,7.22,1.34
20,ponta do sol,20.0,PT,1603601624.0,72.0,32.67,-17.1,18.0,4.1
21,mataura,95.0,NZ,1603601774.0,93.0,-46.19,168.86,11.67,1.34
22,port lincoln,43.0,AU,1603601775.0,54.0,-34.73,135.87,13.11,7.88
23,cedar city,1.0,US,1603601754.0,35.0,37.68,-113.06,14.0,6.2
24,yenotayevka,100.0,RU,1603601775.0,77.0,47.25,47.03,14.37,5.73
25,hobart,40.0,AU,1603601424.0,46.0,-42.88,147.33,15.56,5.7
26,mount gambier,90.0,AU,1603601775.0,58.0,-37.83,140.77,13.0,9.8
27,bluff,97.0,NZ,1603601776.0,93.0,-46.6,168.33,11.67,1.34
28,mosquera,75.0,CO,1603601722.0,93.0,4.71,-74.23,11.0,1.5
29,tabuk,78.0,PH,1603601776.0,81.0,17.42,121.44,27.81,3.46
30,qaanaaq,100.0,GL,1603601777.0,92.0,77.48,-69.36,-7.81,5.96
31,tuatapere,100.0,NZ,1603601680.0,93.0,-46.13,167.68,11.67,1.34
32,cape town,75.0,ZA,1603601501.0,82.0,-33.93,18.42,16.11,2.1
33,burgeo,100.0,CA,1603601778.0,91.0,47.62,-57.62,11.03,1.94
34,aix-les-bains,0.0,FR,1603601778.0,93.0,45.68,5.92,8.0,2.6
35,santiago del estero,61.0,AR,1603601617.0,64.0,-27.8,-64.26,25.88,3.32
36,georgetown,40.0,MY,1603601600.0,79.0,5.41,100.34,29.0,3.1
38,san cristobal,36.0,VE,1603601779.0,82.0,7.77,-72.22,19.0,0.6
39,puerto ayora,99.0,EC,1603601779.0,95.0,-0.74,-90.35,19.44,0.89
40,northam,37.0,GB,1603601779.0,90.0,51.03,-4.22,8.33,5.81
41,bambous virieux,75.0,MU,1603601621.0,78.0,-20.34,57.76,23.89,7.7
42,nekhayevskiy,99.0,RU,1603601780.0,86.0,50.41,41.76,11.67,0.89
43,ludvika,100.0,SE,1603601780.0,100.0,60.15,15.19,4.0,3.6
44,juba,26.0,SS,1603601780.0,78.0,4.85,31.58,25.34,0.18
45,sept-iles,20.0,CA,1603601689.0,64.0,50.2,-66.38,1.0,2.6
46,mahebourg,75.0,MU,1603601634.0,78.0,-20.41,57.7,23.0,7.7
47,hambantota,20.0,LK,1603601781.0,62.0,6.12,81.12,32.0,4.1
48,carnarvon,75.0,AU,1603601781.0,69.0,-24.87,113.63,25.0,7.7
49,cayenne,20.0,GF,1603601782.0,100.0,4.93,-52.33,24.0,1.0
50,dahra,0.0,DZ,1603601782.0,93.0,36.25,0.85,13.0,2.64
51,salekhard,73.0,RU,1603601782.0,95.0,66.53,66.6,-12.76,3.91
52,kloulklubed,75.0,PW,1603601783.0,70.0,7.04,134.26,30.0,4.1
53,miami,90.0,US,1603601502.0,94.0,25.77,-80.19,25.0,5.18
54,talnakh,75.0,RU,1603601600.0,92.0,69.49,88.4,-11.0,5.0
55,hamilton,90.0,US,1603601661.0,70.0,39.18,-84.53,8.33,5.1
56,kapaa,1.0,US,1603601615.0,74.0,22.08,-159.32,27.0,3.1
57,katakwi,80.0,UG,1603601784.0,80.0,1.89,33.97,21.74,0.42
58,salinopolis,6.0,BR,1603601528.0,87.0,-0.61,-47.36,25.56,3.81
59,rikitea,98.0,PF,1603601785.0,83.0,-23.12,-134.97,23.85,8.81
60,esperance,40.0,AU,1603601785.0,46.0,-33.87,121.9,21.0,4.1
61,cherskiy,25.0,RU,1603601785.0,95.0,68.75,161.3,-10.26,1.59
62,chuy,12.0,UY,1603601786.0,98.0,-33.7,-53.46,16.73,2.73
63,nogliki,78.0,RU,1603601786.0,76.0,51.83,143.17,8.29,4.37
64,saskylakh,100.0,RU,1603601786.0,94.0,71.92,114.08,-11.33,8.06
65,port hardy,5.0,CA,1603601786.0,64.0,50.7,-127.42,3.0,3.1
66,xining,98.0,CN,1603601787.0,44.0,36.62,101.77,11.19,1.66
67,yellowknife,40.0,CA,1603601787.0,78.0,62.46,-114.35,-5.56,2.1
68,busselton,79.0,AU,1603601787.0,22.0,-33.65,115.33,30.0,2.56
69,lebu,0.0,CL,1603601630.0,82.0,-37.62,-73.65,8.52,2.18
70,schleswig,100.0,DE,1603601788.0,76.0,54.52,9.55,14.0,8.7
71,mwense,72.0,ZM,1603601788.0,34.0,-10.38,28.7,23.99,1.94
73,bethel,72.0,US,1603601633.0,75.0,41.37,-73.41,6.67,0.89
74,mogadishu,75.0,SO,1603601789.0,74.0,2.04,45.34,27.0,4.1
75,tuktoyaktuk,75.0,CA,1603601680.0,92.0,69.45,-133.04,-5.0,7.7
76,porlamar,86.0,VE,1603601517.0,83.0,10.96,-63.85,28.0,4.6
78,wattegama,20.0,LK,1603601790.0,62.0,6.8,81.48,32.0,4.1
79,ugoofaaru,100.0,MV,1603601790.0,73.0,5.67,73.0,28.6,5.52
80,longyearbyen,75.0,SJ,1603601791.0,85.0,78.22,15.64,-6.0,2.1
81,bengkulu,99.0,ID,1603601791.0,67.0,-3.8,102.27,28.97,2.6
82,geraldton,0.0,AU,1603601732.0,16.0,-28.77,114.6,35.0,6.2
84,port-gentil,100.0,GA,1603601792.0,84.0,-0.72,8.78,25.68,5.66
85,souillac,75.0,MU,1603601792.0,78.0,-20.52,57.52,23.0,7.7
86,tromso,75.0,NO,1603601728.0,85.0,69.65,18.96,1.0,6.2
87,comodoro rivadavia,0.0,AR,1603601792.0,77.0,-45.87,-67.5,15.0,3.1
88,chabahar,0.0,IR,1603601507.0,26.0,25.29,60.64,22.0,5.1
89,kavieng,33.0,PG,1603601616.0,70.0,-2.57,150.8,29.13,2.06
